step,train_acc
0,0.0859375
100,0.828125
200,0.8515625
300,0.8828125
400,0.84375
500,0.8828125
600,0.84375
700,0.890625
800,0.8671875
900,0.921875
1000,0.9453125
1100,0.890625
1200,0.9296875
1300,0.921875
1400,0.921875
1500,0.90625
1600,0.9140625
1700,0.9296875
1800,0.9375
1900,0.9296875
2000,0.96875
2100,0.90625
2200,0.9765625
2300,0.9140625
2400,0.9453125
2500,0.9609375
2600,0.953125
2700,0.953125
2800,0.9609375
2900,0.9609375
3000,0.96875
3100,0.9453125
3200,0.953125
3300,0.953125
3400,0.953125
3500,0.9765625
3600,0.9375
3700,0.9609375
3800,0.96875
3900,0.96875
4000,0.9609375
4100,0.9765625
4200,0.96875
4300,0.9921875
4400,0.96875
4500,0.9921875
4600,1.0
4700,0.9765625
4800,0.9765625
4900,0.9921875
5000,1.0
5100,0.9921875
5200,0.9765625
5300,0.984375
5400,0.9609375
5500,0.96875
5600,0.9921875
5700,1.0
5800,1.0
5900,0.984375
6000,1.0
6100,1.0
6200,0.9921875
6300,0.984375
6400,1.0
6500,1.0
6600,0.984375
6700,0.984375
6800,1.0
6900,0.9921875
7000,1.0
7100,1.0
7200,0.984375
7300,1.0
7400,0.984375
7500,0.9921875
7600,1.0
7700,1.0
7800,0.9921875
7900,1.0
8000,0.984375
8100,0.984375
8200,0.9765625
8300,0.984375
8400,1.0
8500,1.0
8600,1.0
8700,1.0
8800,0.9921875
8900,0.984375
9000,1.0
9100,0.9921875
9200,0.984375
9300,0.9921875
9400,1.0
9500,0.9921875
9600,1.0
9700,0.984375
9800,1.0
9900,1.0
10000,1.0
10100,1.0
10200,1.0
10300,1.0
10400,1.0
10500,0.9921875
10600,1.0
10700,1.0
10800,1.0
10900,1.0
11000,0.984375
11100,0.9921875
11200,1.0
11300,0.9921875
11400,1.0
11500,1.0
11600,1.0
11700,0.9921875
11800,0.9921875
11900,1.0
12000,1.0
12100,0.9921875
12200,0.9921875
12300,1.0
12400,0.984375
12500,1.0
12600,1.0
12700,1.0
12800,0.984375
